"Ministries/Departments","Head of Expenditure","Detailed Head of Expenditure","Actual 2018-2019 Total","Budget 2019-2020 Total","Revised 2019-2020 Total","Budget 2020-2021 Total"
"Ministry of Power","Assistance to CPSUs","Tehri Development Corporation (THDC)","28","21","21","..."
"Ministry of Power","Assistance to CPSUs","North Eastern Electric Power Corporation (NEEPCO)","61","684","171","..."
"Ministry of Power","Assistance to CPSUs","Central Assistance for Pakul Dul HEP under J and K PMDP 2015 as grant to Chenab Valley Power Projects Private Limited (CVPPPL)","100","351.78","322.85","373.65"
"Ministry of Power","Assistance to CPSUs","GoI fully serviced bond issue expenditure and interest (PFC bonds)","376.4","376.4","376.4","376.4"
"Ministry of Power","Assistance to CPSUs","GoI fully serviced bond issue expenditure and interest (REC Bonds)","322.24","1185.03","1504.82","1920.92"
"Ministry of Power","Assistance to CPSUs","Reimbursement of Claim for any expenditure already incurred by NTPC on Lohari Nagpala Hydro Power","...","0.01","0.01","104.4"
"Ministry of Power","Acquistion of Coal bearing areas for NTPC","Acquisition of coal bearing areas","50","65.8","65.8","65.8"
"Ministry of Power","Acquistion of Coal bearing areas for NTPC","Less Recoveries","-50","-65.8","-65.8","-65.8"
"Ministry of Power","Advance Ultra Super Critical plant in Sipat, Chattisgarh","Total Advance Ultra Super Critical plant in Sipat, Chattisgarh","...","0.01","0.01","0.01"
"Ministry of Power","Payment to Law firm P and A Law associates in KOWEPO case","Total Payment to Law firm P and A Law associates in KOWEPO case","...","0.5","0.5","28"
"Ministry of Power","Payment to SDMC- Badarpur Thermal Power Station","Total Payment to SDMC- Badarpur Thermal Power Station","...","97.83","97.83","..."
"Ministry of Power","Support for cost of enabling infrastructure i.e Roads/ Bridge etc","Total Support for cost of enabling infrastructure i.e Roads/ Bridge etc","...","65","...","65"
"Ministry of Power","Support for flood moderation storage- Hydro electric projects","Total Support for flood moderation storage- Hydro electric projects","...","0.01","0.01","0.01"
"Ministry of Power","Dispute Resolution Authority","Total Dispute Resolution Authority","...","...","...","0.01"
"Ministry of Power","Power","Total Power","13489.07","11853.39","11757.5","12763.47"
"Ministry of Power","Secretariat-Economic Services","Total Secretariat-Economic Services","43.56","48.39","47.4","51.57"
"Ministry of Power","Capital Outlay on Power Projects","Total Capital Outlay on Power Projects","694","261.48","196.48","98.01"
"Ministry of Power","Loans for  Power Projects","Total Loans for  Power Projects","1349.21","1364.64","1364.64","894.27"
"Ministry of Power","North Eastern Areas","Total North Eastern Areas","...","1572.92","2247.8","1977.5"
"Ministry of Power","Capital Outlay on North Eastern Areas","Total Capital Outlay on North Eastern Areas","...","684","171","..."
"Ministry of Power","Loans for  North Eastern Areas","Total Loans for  North Eastern Areas","...","90","90","90"
"Ministry of Railways","Working Expenses","Staff Cost","77815.31","86554.31","86904.44","92993.07"
"Ministry of Railways","Working Expenses","Office Expenses (Contigent Expenses)","1788.39","2173.03","2279.14","2428.06"
"Ministry of Railways","Working Expenses","Less Receipts","-1953.2","-2400","-2500","-2700"
"Ministry of Railways","Other Ordinary Working Expenses","Diesel for Traction","20314.79","21890.37","17783.97","18040.94"
"Ministry of Railways","Other Ordinary Working Expenses","Electricity for Traction","10294.47","11066.69","10997.87","12050.1"
"Ministry of Railways","Other Ordinary Working Expenses","Materials for Repairs and Maintenance","9665.11","9855.82","9347.51","9969.7"
"Ministry of Railways","Other Ordinary Working Expenses","Contractual Payments","7421.54","8545.52","9334.06","9798.69"
"Ministry of Railways","Other Ordinary Working Expenses","Lease/Hire Charges payable to Indian Railway Finance Corporation etc.","9976.63","11489.27","11566.44","14223.6"
"Ministry of Railways","Other Ordinary Working Expenses","Inter Railway Financial Adjusment (Transfer of Debits/Credits)","1035.43","1036.13","942.85","1131.31"
"Ministry of Railways","Other Ordinary Working Expenses","Electricity for Non-Traction","1687.47","1820.55","1816.1","1903.24"
"Ministry of Railways","Other Ordinary Working Expenses","Fuel for other than Traction","513.41","530.44","445.24","440.26"
"Ministry of Railways","Other Ordinary Working Expenses","Excise-Sales Tax, VAT etc","625.79","564.77","842.24","879.81"
"Ministry of Railways","Other Ordinary Working Expenses","Security -Government Railway  Police etc","1142.07","1331.44","1420.37","1454.27"
"Ministry of Railways","Other Ordinary Working Expenses","Compensation Claims and Workmen' Compensation Claim","526.88","984.22","751.44","853.64"
"Ministry of Railways","Other Ordinary Working Expenses","Catering","40.15","43.18","40.86","39.68"
"Ministry of Railways","Other Ordinary Working Expenses","Annual Maintenance Contract / Spectrum Charges etc","307.57","348.56","341.03","310.09"
"Ministry of Railways","Other Ordinary Working Expenses","Miscellaneous Expenditure","2171.18","1658.7","1493.45","1686.55"
"Ministry of Railways","Other Ordinary Working Expenses","Appropriation to Depreciation Reserve Fund","300","500","400","800"
"Ministry of Railways","Other Ordinary Working Expenses","Appropriation to Pension Fund","44380","50100","48450","53260"
"Ministry of Railways","Other Ordinary Working Expenses","Expenditure on Pension","46718.22","51000","49000","53000"
"Ministry of Railways","Other Ordinary Working Expenses","Deduct amount met from Pension Fund","-46718.22","-51000","-49000","-53000"
"Ministry of Railways","Other Ordinary Working Expenses","Less Recoveries","-3272.69","-2593","-2699.01","-2850.01"
"Ministry of Railways","Appropriation to Railway Funds from Surplus","Appropriation to Development Fund","750","1000","1311","1500"
"Ministry of Railways","Appropriation to Railway Funds from Surplus","Appropriation to Capital Fund","...","3035","...","..."
"Ministry of Railways","Appropriation to Railway Funds from Surplus","Appropriation to Rashtirya Rail Sanraksha Kosh","3023.86","5000","2500","5000"
"Ministry of Railways","Appropriation to Railway Funds from Surplus","Appropriation to Railway Safety Fund","...","...","...","..."
"Ministry of Railways","Appropriation to Railway Funds from Surplus","Less Receipts","-3773.86","-9035","-3811","-6500"
"Ministry of Railways","Railway Revenue Receipts","Passenger","-51066.65","-56000","-56000","-61000"
"Ministry of Railways","Railway Revenue Receipts","Other Coaching","-4474.46","-6000","-6000","-6500"
"Ministry of Railways","Railway Revenue Receipts","Goods","-121642.17","-131565","-128422","-137800"
"Ministry of Railways","Railway Revenue Receipts","Sundry","-6996.23","-11575","-9000","-11013"
"Ministry of Railways","Railway Revenue Receipts","Suspense","...","-100","-100","-100"
"Ministry of Railways","Railway Revenue Receipts","Other Miscellaneous Receipts","-600.79","-260","-436","-300"
"Ministry of Railways","Budget Support from General Revenues","Reimbursement of losses on operation of Strategic lines","1940","2084.87","2098.1","2215.63"
"Ministry of Railways","Budget Support from General Revenues","Reimbursement of operational cost of e-ticketing to Indian Railway Catering and Tourism Corporation Limited","88","96.8","32.27","..."
"Ministry of Railways","Budget Support from General Revenues","Reimbursement of insurance premium paid by Indian Railway Catering and Tourism Corporation Limited","47","...","...","..."
"Ministry of Railways","Transfer to Central Road and Infrastructure Fund","Total Transfer to Central Road and Infrastructure Fund","13000","15250","17250","18500"
"Ministry of Railways","Transfer to National Investement Fund","Total Transfer to National Investement Fund","40060","50587","50587","51500"
"Ministry of Railways","New Lines (Construction)","Total New Lines (Construction)","5647.58","7255","7881.6","12000"
"Ministry of Railways","Gauge Conversion","Total Gauge Conversion","2589.88","2200","2344.2","2250"
"Ministry of Railways","Doubling","Total Doubling","610.13","700","630.3","700"
"Ministry of Railways","Computerisation","Total Computerisation","174.37","510","423.45","395"
"Ministry of Railways","Traffic Facilities - Yard Remodeling and Others","Total Traffic Facilities - Yard Remodeling and Others","1131.44","1210.03","1073.32","1225"
"Ministry of Railways","Railway Research","Total Railway Research","23.69","90.1","43.58","70.1"
"Ministry of Railways","Rolling Stock","Total Rolling Stock","4572.04","6114.82","9068.97","5786.97"
"Ministry of Railways","Leased assets - Payment of Capital Component","Total Leased assets - Payment of Capital Component","9111.51","10557.53","10557.53","11936.72"
"Ministry of Railways","Road Safety Works - Level Crossings","Total Road Safety Works - Level Crossings","678.6","700","546.5","700"
"Ministry of Railways","Road Safety Works - Road Over/Under Bridges","Total Road Safety Works - Road Over/Under Bridges","3522.92","5350","3697.31","4350.01"
"Ministry of Railways","Track Renewals","Total Track Renewals","9690.06","10120","8461.71","10599.47"
"Ministry of Railways","Bridge Works","Total Bridge Works","531.63","745","752.58","777"
"Ministry of Railways","Signalling and Telecom","Total Signalling and Telecom","1538.43","1750","1374.82","1650"
"Ministry of Railways","Electrification Projects","Total Electrification Projects","-5.79","1","1","1"
"Ministry of Railways","Other Electrical Works","Total Other Electrical Works","249.94","915","483.61","780"
"Ministry of Railways","Traction Distribution Works","Total Traction Distribution Works","351.26","...","...","..."
"Ministry of Railways","Machinery and Plant","Total Machinery and Plant","445.06","669.58","434.65","624"
"Ministry of Railways","Workshop Including Production Units","Total Workshop Including Production Units","2072.97","2550","2001.72","2052"
"Ministry of Railways","Staff Quarters","Total Staff Quarters","283.8","772.44","516.84","681.79"
"Ministry of Railways","Amenities for Staff","Total Amenities for Staff","223.27","...","...","..."
"Ministry of Railways","Passenger Amenities","Total Passenger Amenities","1585.88","3422.57","1881.39","2725.63"
"Ministry of Railways","Investment in Governent Commericial Undertaking - Public Undertakings","Total Investment in Governent Commericial Undertaking - Public Undertakings","2904","18323.64","16634.98","17355"
"Ministry of Railways","Investment in Non Governent Undertakings Including Joint Venture/Special Purpose Vehicle","Total Investment in Non Governent Undertakings Including Joint Venture/Special Purpose Vehicle","9774.36","...","...","..."
"Ministry of Railways","Other Specified Works","Total Other Specified Works","288.43","970","708.94","875"
"Ministry of Railways","Traning/Human Resource Development","Total Traning/Human Resource Development","56.46","125","102.55","148.5"
"Ministry of Railways","Stores Suspense","Total Stores Suspense","22398.43","23195.54","22319.04","24333.48"
"Ministry of Railways","Manufacturing Suspense","Total Manufacturing Suspense","34281.49","39612.49","41538.96","43773.76"
"Ministry of Railways","Miscellaneous Advances","Total Miscellaneous Advances","791.95","333.81","430.07","438.99"
"Ministry of Railways","Metropolitan Transportation Projects","Total Metropolitan Transportation Projects","1163.97","1600","1580","1400"
"Ministry of Railways","New Lines (Construction) - Dividend Free Projects","Total New Lines (Construction) - Dividend Free Projects","...","1800","3300","..."
"Ministry of Railways","Transfer to Rashtirya Rail Sanraksha Kosh","From General Revenues","5000","15000","15000","15000"
"Ministry of Railways","Transfer to Rashtirya Rail Sanraksha Kosh","From Railways' Resources","...","5000","2500","5000"
"Ministry of Railways","Amount met from","Central Road and Infrastructure Fund","-13000","-15250","-17250","-18500"
"Ministry of Railways","Amount met from","National Investment Fund","-40060","-50587","-50587","-51500"
"Ministry of Railways","Amount met from","Capital Fund","...","-3000","...","..."
"Ministry of Railways","Amount met from","Depreciation Reserve Fund","-533.62","-1000","-1000","-1000"
"Ministry of Railways","Amount met from","Development Fund","-1105.32","-1500","-1500","-1500"
"Ministry of Railways","Amount met from","Credits or Recoveries","-59221.39","-69988.91","-68184.98","-74879.42"
"Ministry of Railways","Amount met from","Nirbhaya Fund","...","-267.64","-267.64","-250"
"Ministry of Railways","Amount met from","Rashtriya Rail Sanraksha Kosh","-4983.94","-20000","-17500","-20000"
"Ministry of Railways","Amount met from","Railway Safety Fund","-3005.82","...","...","..."
"Ministry of Railways","Indian Railways - Policy Formulation, Direction, Research and Other Miscelllaneous Organisations","Total Indian Railways - Policy Formulation, Direction, Research and Other Miscelllaneous Organisations","...","...","...","..."
"Ministry of Railways","Indian Railways - Commercial  Lines - Working Expenses","Total Indian Railways - Commercial  Lines - Working Expenses","...","...","...","..."
"Ministry of Railways","Indian Railways - Strategic Lines - Working Expenses","Total Indian Railways - Strategic Lines - Working Expenses","...","...","...","..."
"Ministry of Railways","Appropriation from Railway Surplus","Total Appropriation from Railway Surplus","...","...","...","..."
"Ministry of Railways","Other Transport Services","Total Other Transport Services","2075","2181.67","2130.37","2215.63"
"Ministry of Railways","Capital Outlay on Indian Railways - Commercial Lines","Total Capital Outlay on Indian Railways - Commercial Lines","52102.61","65763.64","67766.74","69905.74"
"Ministry of Railways","Capital Outlay on Indian Railways - Strategic Lines","Total Capital Outlay on Indian Railways - Strategic Lines","735.06","73.36","70.26","94.26"
"Ministry of Road Transport and Highways","Secretariat","Total Secretariat","117.24","154.58","154.58","166.77"
"Ministry of Road Transport and Highways","National Highways Authority of India","Investment in NHAI","35818.68","36691","36691","42500"
"Ministry of Road Transport and Highways","National Highways Authority of India","Transfer to Central Road and Infrastructure Fund(CRIF)","20035.64","16091","16091","20750"
"Ministry of Road Transport and Highways","National Highways Authority of India","NHAI investment met from CRIF","-16567.05","-16091","-16091","-20750"
"Ministry of Road Transport and Highways","National Highways Authority of India","Transfer to Permanent Bridge Fee Fund (PBFF)","9570.13","10600","10600","11500"
"Ministry of Road Transport and Highways","National Highways Authority of India","NHAI investment met from PBFF","-9570.13","-10600","-10600","-11500"
"Ministry of Road Transport and Highways","National Highways Authority of India","Transfer to Monetization of National Highways Fund","9681.5","10000","10000","10250"
"Ministry of Road Transport and Highways","National Highways Authority of India","NHAI investment met from Monetization of National Highways Fund","-9681.5","-10000","-10000","-10250"
"Ministry of Road Transport and Highways","Road Works","Works under Roads Wing","23849.54","25721","26628","27480.06"
"Ministry of Road Transport and Highways","Road Works","Programme Component","428.02","1700","900","1400"
"Ministry of Road Transport and Highways","Road Works","EAP Component","740.76","1328","1328","3200"
"Ministry of Road Transport and Highways","Road Works","Schemes of States financed from CRIF","6763.98","7308","7066.33","6340"
"Ministry of Road Transport and Highways","Road Works","Schemes of UTs financed from CRIF","20.52","113.58","355.25","480"
"Ministry of Road Transport and Highways","Road Works","Grants to Inter-State and Economically Important Roads - Schemes financed from CRIF","474.82","500","400","400"
"Ministry of Road Transport and Highways","Road Works","Development, Planning, Quality Assurance, Research and Training - financed from CRIF","8.71","39.28","39.28","79"
"Ministry of Road Transport and Highways","Road Works","Maintenance of National Highways - financed from CRIF","1796.88","3100.07","3100.07","2600.07"
"Ministry of Road Transport and Highways","Road Works","Special Accelerated Road Development Program for North Eastern Areas financed from National Investment Fund","5944.47","6070","6070","6780"
"Ministry of Road Transport and Highways","Road Works","Transfer to Central Road and Infrastructure Fund(CRIF)","30718.19","38432.65","38439.65","38493"
"Ministry of Road Transport and Highways","Road Works","Met from Central Road and Infrastructure Fund(CRIF)","-33083.49","-38432.65","-38439.65","-38493"
"Ministry of Road Transport and Highways","Road Works","Transfer to National Investment Fund","5980","6070","6070","6780"
"Ministry of Road Transport and Highways","Road Works","Met from National Investment Fund","-5831.37","-6070","-6070","-6780"
"Ministry of Road Transport and Highways","Works Financed from  PBFF","Maintenance of Toll Bridges","4.09","50","10","18.32"
"Ministry of Road Transport and Highways","Works Financed from  PBFF","Transfer to PBFF","13.96","10.46","10.46","18.32"
"Ministry of Road Transport and Highways","Works Financed from  PBFF","Met from PBFF","-4.09","-50","-10","-18.32"
"Ministry of Road Transport and Highways","Research, Training and Studies","Total Research, Training and Studies","158.37","265","265","..."
"Ministry of Road Transport and Highways","Research, Training, Studies and Other Road Safety Schemes","Schemes financed from CRIF","0.28","15","8","379"
"Ministry of Road Transport and Highways","Research, Training, Studies and Other Road Safety Schemes","Transfer to CRIF","8","15","8","379"
"Ministry of Road Transport and Highways","Research, Training, Studies and Other Road Safety Schemes","Met from CRIF","-0.28","-15","-8","-379"
"Ministry of Road Transport and Highways","Scheme on Women Safety","Scheme on Women Safety on Public Road Transport","33.64","174.36","174.36","174.36"
"Ministry of Road Transport and Highways","Scheme on Women Safety","Met from Nirbhaya Fund","-33.64","-174.36","-174.36","-174.36"
"Ministry of Road Transport and Highways","Actual Recoveries","Total Actual Recoveries","-94.7","...","...","..."
"Ministry of Road Transport and Highways","National Highways Infrastructure Development Corporation Limited (NHIDCL)","Grants to NHIDCL","0.12","...","...","..."
"Ministry of Road Transport and Highways","National Highways Infrastructure Development Corporation Limited (NHIDCL)","Issue of Bonus Shares","2","...","...","..."
"Ministry of Road Transport and Highways","National Highways Infrastructure Development Corporation Limited (NHIDCL)","Less Receipts","-2","...","...","..."
"Ministry of Road Transport and Highways","Roads and Bridges","Total Roads and Bridges","2589.03","3149.81","3149.81","2697.39"
"Ministry of Road Transport and Highways","Road Transport","Total Road Transport","158.37","265","265","359"
"Ministry of Road Transport and Highways","Secretariat-Economic Services","Total Secretariat-Economic Services","116.56","154.58","154.58","166.77"
"Ministry of Road Transport and Highways","Capital Outlay on Roads and Bridges","Total Capital Outlay on Roads and Bridges","67638.33","65973.58","66084.4","75174.71"
"Ministry of Road Transport and Highways","Capital Outlay on Road Transport","Total Capital Outlay on Road Transport","8","15","8","20"
"Ministry of Road Transport and Highways","Grants-in-aid to State Governments","Total Grants-in-aid to State Governments","6791","7308","7066.33","6340"
"Ministry of Road Transport and Highways","Grants-in-aid to Union Territory Governments","Total Grants-in-aid to Union Territory Governments","...","80","217.85","285.35"
"Ministry of Road Transport and Highways","Capital Outlay on North Eastern Areas","Total Capital Outlay on North Eastern Areas","...","6070","6070","6780"
"Ministry of Shipping","Secretariat","Total Secretariat","55.99","60.71","64.62","74"
"Ministry of Shipping","Development of Major Ports","Total Development of Major Ports","168.32","98","107","..."
"Ministry of Shipping","Development of Minor Ports","Minor Ports","111.06","110.25","97.98","142.5"
"Ministry of Shipping","Oil Pollution and Research and Development.","Total Oil Pollution and Research and Development.","...","6","1.66","1"
"Ministry of Shipping","Sagarmala","Sagarmala Schemes and Projects","115.72","150","98.26","211"
"Ministry of Shipping","Sagarmala","Other Schemes under Sagarmala","119.37","200","82.6","86"
"Ministry of Shipping","Sagarmala","Sagarmala Development Company","125","200","200","..."
"Ministry of Shipping","Sagarmala","Transfer to Central Road and Infrastructure Fund (CRIF)","125","200","200","..."
"Ministry of Shipping","Sagarmala","Met from CRIF","-125","-200","-200","..."
"Ministry of Shipping","Assistance to Ship Building, Research and Development","Total Assistance to Ship Building, Research and Development","29.12","97","42.43","151"
"Ministry of Shipping","Grants to Inland Water Transport Authority of India","Total Grants to Inland Water Transport Authority of India","364.95","450","236.51","301.8"
"Ministry of Shipping","IWAI Projects","EAP Components","370.54","200","200","270"
"Ministry of Shipping","IWAI Projects","Programme Component","50","30","30","30"
"Ministry of Shipping","IWAI Projects","Interest under EBR","76.51","77","76.4","76.5"
"Ministry of Shipping","Aid to Bangladesh","Total Aid to Bangladesh","8.64","...","0.01","..."
"Ministry of Shipping","Tariff Authority for Major Ports","Total Tariff Authority for Major Ports","8.49","8.6","8.6","9.6"
"Ministry of Shipping","Indian Maritime University","Total Indian Maritime University","30","...","0.01","..."
"Ministry of Shipping","Hooghly Dock and Port Engineers Ltd.","Total Hooghly Dock and Port Engineers Ltd.","...","...","73.02","..."
"Ministry of Shipping","Kolkata Port Trust","Total Kolkata Port Trust","155","100","100","301.9"
"Ministry of Shipping","Shipping Corporation of India","Total Shipping Corporation of India","...","...","3.52","21.1"
"Ministry of Shipping","Directorate General of Shipping","Total Directorate General of Shipping","100.42","115","100.78","123.6"
"Ministry of Shipping","Directorate General of Lighthouses and Lightships","Director General of Lighthouses and Lightships","307.5","380","413","380"
"Ministry of Shipping","Directorate General of Lighthouses and Lightships","Recoveries","-59.43","-60","-93","-60"
"Ministry of Shipping","Directorate General of Lighthouses and Lightships","Receipts","-293.98","-320","-320","-320"
"Ministry of Shipping","Industries","Total Industries","29.91","97.84","116.04","153"
"Ministry of Shipping","Ports and Light Houses","Total Ports and Light Houses","479.28","497.98","408.02","621"
"Ministry of Shipping","Shipping","Total Shipping","124.22","103.3","94.69","134.7"
"Ministry of Shipping","Inland Water Transport","Total Inland Water Transport","870.64","670.36","483.78","628.3"
"Ministry of Shipping","Secretariat-Economic Services","Total Secretariat-Economic Services","55.2","59.87","64.03","72"
"Ministry of Shipping","Capital Outlay on Ports and Light Houses","Total Capital Outlay on Ports and Light Houses","177.77","254.87","242.6","75"
"Ministry of Shipping","Capital Outlay on Shipping","Total Capital Outlay on Shipping","-23.8","11.7","9.62","10"
"Ministry of Shipping","Loans for  Engineering Industries","Total Loans for  Engineering Industries","...","...","...","..."
"Ministry of Shipping","North Eastern Areas","Total North Eastern Areas","...","86.64","59.14","50"
"Ministry of Shipping","Grants-in-aid to State Governments","Total Grants-in-aid to State Governments","100","120","45.48","56"
"Ministry of Skill Development and Entrepreneurship","Secretariat","Total Secretariat","56.26","312.56","284.04","276.18"
"Ministry of Skill Development and Entrepreneurship","Actual Recoveries","Total Actual Recoveries","-0.03","...","...","..."
"Ministry of Skill Development and Entrepreneurship","Pradhan Mantri Kaushal Vikas Yojana","Development of Skills","2042.24","2400","2046.22","1590.5"
"Ministry of Skill Development and Entrepreneurship","Pradhan Mantri Kaushal Vikas Yojana","Promotion of Apprenticeship","...","61.25","50.98","73.02"
"Ministry of Skill Development and Entrepreneurship","Pradhan Mantri Kaushal Vikas Yojana","Development of Entrepreneurship","20.34","37.25","25.06","39.01"
"Ministry of Skill Development and Entrepreneurship","Pradhan Mantri Kaushal Vikas Yojana","Strengthening of Infrastructure for Institutional Training","...","125.15","92.28","86"
"Ministry of Skill Development and Entrepreneurship","Pradhan Mantri Kaushal Vikas Yojana","Strengthening of Skill Institutions","...","33","15.86","17.5"
"Ministry of Skill Development and Entrepreneurship","Pradhan Mantri Kaushal Vikas Yojana","Support to Regulatory Institutions","...","20","16.6","20"
"Ministry of Skill Development and Entrepreneurship","Pradhan Mantri Kaushal Vikas Yojana","National Skill Development Agency","15","...","...","..."
"Ministry of Skill Development and Entrepreneurship","Pradhan Mantri Kaushal Vikas Yojana","Apperenticeship and Training","440.71","...","...","..."
"Ministry of Skill Development and Entrepreneurship","Pradhan Mantri Kaushal Vikas Yojana","National Board for Skill Certification","...","...","...","..."
"Ministry of Skill Development and Entrepreneurship","Pradhan Mantri Kaushal Vikas Yojana","Scheme of Polytechnics","44.46","...","...","..."
"Ministry of Skill Development and Entrepreneurship","Pradhan Mantri Kaushal Vikas Yojana","Skill Acquisition and Knowledge Awareness for Livelihood Promotion","...","...","...","500"
"Ministry of Skill Development and Entrepreneurship","Pradhan Mantri Kaushal Vikas Yojana","Skill Strengthening for Industrial Value Enhancements","...","...","...","400"
"Ministry of Skill Development and Entrepreneurship","Capital Outlay on Other Administrative Services","Total Capital Outlay on Other Administrative Services","3","43.1","82.15","76.68"
"Ministry of Skill Development and Entrepreneurship","Labour, Employment and Skill Development","Total Labour, Employment and Skill Development","2315.18","1745.82","1692.25","1632.13"
"Ministry of Skill Development and Entrepreneurship","Secretariat-Social Services","Total Secretariat-Social Services","53.25","269.46","201.89","199.5"
"Ministry of Skill Development and Entrepreneurship","Capital Outlay on other Social Services","Total Capital Outlay on other Social Services","59.85","20","3.57","2.5"
"Ministry of Skill Development and Entrepreneurship","North Eastern Areas","Total North Eastern Areas","...","265.62","223.53","270.3"
"Ministry of Skill Development and Entrepreneurship","Grants-in-aid to State Governments","Total Grants-in-aid to State Governments","185.45","629.51","319.2","791.5"
"Ministry of Skill Development and Entrepreneurship","Grants-in-aid to Union Territory Governments","Total Grants-in-aid to Union Territory Governments","2.25","15.7","8.45","29.6"
"Ministry of Skill Development and Entrepreneurship","Capital Outlay on North Eastern Areas","Total Capital Outlay on North Eastern Areas","...","...","...","..."
"Ministry of Statistics and Programme Implementation","Secretariat","Total Secretariat","32.12","36.6","36.6","38.33"
"Ministry of Statistics and Programme Implementation","Indian Statistical Institute","Total Indian Statistical Institute","311.04","298.94","298.94","313.47"
"Ministry of Statistics and Programme Implementation","Attached Offices","Central Statisical Organisation","46.68","53.79","53.79","56.37"
"Ministry of Statistics and Programme Implementation","Attached Offices","National Sample Survey Office","341.61","352.9","352.9","369.83"
"Ministry of Statistics and Programme Implementation","Member of Parliament Local Area Development Scheme (MPLAD)","Total Member of Parliament Local Area Development Scheme (MPLAD)","3949.5","3960","3960","3960"
"Ministry of Statistics and Programme Implementation","Capacity Development (CD)","Capacity Development CSO and NSSO","180.72","258.67","258.67","258.99"
"Ministry of Statistics and Programme Implementation","Capacity Development (CD)","Economic Census","13.23","250.16","250.16","400"
"Ministry of Statistics and Programme Implementation","Capacity Development (CD)","Support for Statistical Strengthening","21.73","20","20","47.01"
"Ministry of Statistics and Programme Implementation","Actual Recoveries","Total Actual Recoveries","-21.89","...","...","..."
"Ministry of Statistics and Programme Implementation","Secretariat-General Services","Total Secretariat-General Services","7.32","8.14","8.14","8.51"
"Ministry of Statistics and Programme Implementation","MPs Local Area Development Scheme","Total MPs Local Area Development Scheme","3949.5","3960","3960","3960"
"Ministry of Statistics and Programme Implementation","Secretariat-Economic Services","Total Secretariat-Economic Services","24.8","28.46","28.46","29.82"
"Ministry of Statistics and Programme Implementation","Census Surveys and Statistics","Total Census Surveys and Statistics","909.64","1170.31","1170.31","1395.72"
"Ministry of Statistics and Programme Implementation","Capital Outlay on Other General Economic Services","Total Capital Outlay on Other General Economic Services","5.37","14.73","14.73","17.95"
"Ministry of Statistics and Programme Implementation","North Eastern Areas","Total North Eastern Areas","...","49.42","49.42","32"
"Ministry of Statistics and Programme Implementation","Grants-in-aid to State Governments","Total Grants-in-aid to State Governments","-21.89","...","...","..."
"Ministry of Steel","Secretariat","Total Secretariat","32.4","34.54","34.54","38.58"
"Ministry of Steel","Scheme for Promotion of Research and Development in Iron and Steel sector","Total Scheme for Promotion of Research and Development in Iron and Steel sector","15","15","15","15"
"Ministry of Steel","Other Programmes","Total Other Programmes","1.5","1.71","1.71","2.18"
"Ministry of Steel","Actual Recovery","Total Actual Recovery","-0.11","...","...","..."
"Ministry of Steel","Upgradation of Ispat General Hospital Rourkela to a Super Specialty Hospital","Upgradation of Ispat General Hospital Rourkela to a Super Specialty Hospital","105.75","190.04","144.83","44.24"
"Ministry of Steel","Medical and Public Health","Total Medical and Public Health","105.75","190.04","144.83","44.24"
"Ministry of Steel","Industries","Total Industries","16.39","16.71","16.71","17.18"
"Ministry of Steel","Secretariat-Economic Services","Total Secretariat-Economic Services","32.4","34.54","34.54","38.58"
"Ministry of Textiles","Secretariat","Total Secretariat","26.47","35","35","35"
"Ministry of Textiles","Textile Commissioner","Total Textile Commissioner","37.13","36","40.99","40"
"Ministry of Textiles","Jute Commissioner","Total Jute Commissioner","10.45","11","11.78","11"
"Ministry of Textiles","Amended Technology Upgradation Fund Scheme(ATUFS)","Total Amended Technology Upgradation Fund Scheme(ATUFS)","615.68","700","494.37","761.9"
"Ministry of Textiles","Procurement of Cotton by Cotton Corporation under Price Support Scheme","Total Procurement of Cotton by Cotton Corporation under Price Support Scheme","924","2017.57","2017.57","0.01"
"Ministry of Textiles","National Handloom Development Programme","Total National Handloom Development Programme","118.71","135","139.5","205"
"Ministry of Textiles","Handloom Weaver Comprehensive Welfare Scheme (HWCWS)","Total Handloom Weaver Comprehensive Welfare Scheme (HWCWS)","2.05","20","19.54","10"
"Ministry of Textiles","Yarn Supply Scheme","Total Yarn Supply Scheme","126.84","195","172.17","155"
"Ministry of Textiles","Trade Facilitation Centre and Crafts Museum","Total Trade Facilitation Centre and Crafts Museum","2.46","3","7.93","10"
"Ministry of Textiles","Handloom Cluster Development Program - Handloom Mega Cluster","Total Handloom Cluster Development Program - Handloom Mega Cluster","16.38","40","30","14"
"Ministry of Textiles","Weavers Service Centre","Total Weavers Service Centre","44.58","42","49.6","60"
"Ministry of Textiles","Other Handloom Schemes","Total Other Handloom Schemes","22.74","21.8","27.2","31"
"Ministry of Textiles","Training and Extension","Total Training and Extension","18.24","18.5","20.6","19.5"
"Ministry of Textiles","Design and Technical Upgradation Scheme","Total Design and Technical Upgradation Scheme","56.2","70","74.99","74.5"
"Ministry of Textiles","Ambedkar Hasthshilp Vikas Yojana","Total Ambedkar Hasthshilp Vikas Yojana","2.86","6","11.5","24"
"Ministry of Textiles","Marketing Support and Services","Total Marketing Support and Services","30.92","45","55","59"
"Ministry of Textiles","Handicrafts Artisans comprehensive welfare scheme","Total Handicrafts Artisans comprehensive welfare scheme","14.51","26","24.44","31"
"Ministry of Textiles","Research and Development - Handicrafts","Total Research and Development - Handicrafts","3.23","9.5","9.65","9.5"
